cluster,pdb,tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond,n_pos-pos,n_pos-neutral,n_pos-special,n_pos-hydrophobic,n_neg-neg,n_neg-neutral,n_neg-special,n_neg-hydrophobic,n_neutral-neutral,n_neutral-special,n_neutral-hydrophobic,n_special-special,n_special-hydrophobic,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
cluster972,982.pdb,-0.9761359921542992,7.0,-0.16861790165940038,0.6647493692378853,-0.8844298328376813,-0.26269583190661905,-0.32772552916792036,-2.23531578513416,0.8805334713666833,0.0,-1.6329706388462795,-0.9753266643382472,-0.28653581283511304,-0.14503339340030685,-0.25036146149007404,0.04071099596410944,-1.3536714843201432,-1.0691433840915936,-1.169553320651307,-0.8325917932665544,0.23523470545366829,0.24366542629152763,1.2911174045953848,0.0,0.8174435665332314,-0.8686995514371159,-0.9669973670414754,-1.7121663041306392,0.23152522512623153,0.23876189683423546,-0.5480138204829391,-1.014246779362725,-1.5855631373807035,-1.0075087287782056
cluster972,1010.pdb,-0.964367440339981,7.0,0.03543238162441056,-0.5583894701598232,-0.5970682245589928,-0.26269583190661905,-0.32772552916792036,2.17647715644392,-1.9128830584862444,0.0,0.26871668740508386,2.5853897292775754,-0.28653581283511304,0.3917568672307122,-0.25036146149007404,-0.8480307464388135,0.5977751568935106,1.6610622268969892,0.6040550117649596,-0.3032314271261043,1.526499198397437,1.6231866089881715,0.1355243563451393,0.0,-2.018747493993268,0.4169441790342604,0.992610403576661,1.5253283144640069,-0.657175164531543,0.7512683903675448,-0.3672301275976935,1.0818679865901246,-0.04368384640838139,0.9872761575724593
cluster972,1114.pdb,-0.3922850604772806,7.0,0.04863580931526894,-0.5583894701598232,-0.9507440501327632,-0.26269583190661905,-0.32772552916792036,0.5401953993290234,-0.5598219268387326,0.0,0.26871668740508386,0.44895989310808176,-0.28653581283511304,-0.14503339340030685,-0.25036146149007404,-0.40365987523735203,0.5977751568935106,0.775590136846638,0.6040550117649596,0.33200101224243594,0.23523470545366829,0.24366542629152763,-0.22939976415493823,0.0,-0.5549069466247522,-0.09238988028145438,1.0072244510023745,-0.07909379740590751,-0.6850387081016709,0.7831379685939178,0.7170747029162212,0.9375415293818132,-0.9373479488995176,0.9082957161533961
cluster972,997.pdb,-0.3595946387708407,7.0,-0.09000018143875627,-0.5583894701598232,-1.1054772238212878,-0.26269583190661905,-0.32772552916792036,-1.5713699723802221,0.8805334713666833,0.0,0.26871668740508386,0.44895989310808176,-0.28653581283511304,-0.6051393310840375,-0.25036146149007404,-0.02277055706467077,0.5977751568935106,-0.036092612366183885,0.6040550117649596,0.9142974149969312,-1.0560297874901006,-1.1358557564051162,-0.7159652581550416,0.0,0.9089336007437636,1.7930929532006974,1.0300361554375308,0.6784807737914684,-0.5679629416973611,0.9176453319433402,0.6679386222858722,0.8908995286738154,-1.1579305704494849,1.147313104078648
cluster972,1097.pdb,-0.25335076822491026,7.0,-0.08345627613940355,-0.5583894701598232,0.28712133937543316,-0.26269583190661905,1.27733670757753,0.11570545346994827,0.7932392048087793,0.0,0.26871668740508386,-2.399613221784576,-0.28653581283511304,-0.6818236540313259,-0.25036146149007404,0.04071099596410944,0.5977751568935106,-0.036092612366183885,0.6040550117649596,0.9142974149969312,-1.1076803672078512,-1.1358557564051162,-0.5335031979050029,0.0,0.9089336007437636,0.48864264299904986,1.0101166150407528,0.3110083180448643,-0.12562918752157337,0.21569569246482595,-0.44960921695638834,0.9739420522344472,-0.35408960602814843,0.9067986830908269
cluster972,1031.pdb,-0.23700555737169063,8.5,0.5979468466556234,0.6647493692378853,0.06607394839182666,-0.26269583190661905,-0.32772552916792036,0.3261363668017975,-0.5598219268387326,0.0,2.170404013656447,-0.26318338561508275,1.9367059156686595,1.235284419650885,1.7583525900000623,1.6912313747123948,0.5977751568935106,-0.036092612366183885,0.6040550117649596,0.33200101224243594,-1.0560297874901006,-1.049635682486576,-2.2364824269053645,0.0,-0.5549069466247522,-1.2589295958127693,-0.9771410099204502,-0.8385368726155525,0.7162653372793625,-1.3588798501841963,1.2290965026923093,-0.9814198153410162,-0.4050063001129153,-1.0053748731879064
cluster972,1041.pdb,-0.20431513566525014,7.0,0.020953890363746782,-0.5583894701598232,0.28712133937543316,-0.26269583190661905,1.27733670757753,0.11570545346994827,0.8368863380877313,0.0,0.26871668740508386,-0.26318338561508275,-0.28653581283511304,-0.6818236540313259,-0.25036146149007404,0.04071099596410944,0.5977751568935106,-0.036092612366183885,0.6040550117649596,0.9142974149969312,-1.1076803672078512,-1.049635682486576,-0.5943238846550157,0.0,0.8174435665332314,-0.7061458522926325,-0.9568154173540454,-0.6869804360646946,-1.9242942500880098,2.220954122023132,-0.646285981743637,-0.9403647506846929,-0.9698263717044212,-0.984180797090509
cluster972,1094.pdb,-0.1961425302386406,7.0,-0.8193371148430713,-0.5583894701598232,0.28712133937543316,-0.26269583190661905,-0.32772552916792036,-1.9450662495040232,0.8368863380877313,0.0,0.26871668740508386,-0.26318338561508275,-0.28653581283511304,-0.6818236540313259,-0.25036146149007404,0.04071099596410944,0.5977751568935106,-0.10988195320371315,0.6040550117649596,0.9672334516109762,-1.1076803672078512,-0.9634156085680358,-0.5943238846550157,0.0,0.7259535323226992,-0.7404257076216737,-0.9802668454904062,-0.9838649624588419,-0.5354554741988772,0.5053198680381096,-0.062348031611003295,-1.001416142978094,-0.5626619774783819,-1.0100093407980872
cluster972,1104.pdb,-0.17162471395881024,7.0,0.07705849430418711,0.6647493692378853,-0.022345008001615936,-0.26269583190661905,-0.09475853784851067,0.11570545346994827,-0.5598219268387326,0.0,-3.534657965097643,1.8732464505544106,-0.28653581283511304,0.31507254428342374,-0.25036146149007404,-0.40365987523735203,-1.3536714843201432,-0.33124997571630094,-1.2877938761457246,-1.3619521594070045,1.5781497781151879,1.6231866089881715,1.7168622118454753,0.0,-0.5549069466247522,0.315492408930682,1.12151281402889,0.9168188411344633,0.6954898881261962,-0.10340954904806128,-1.3292907467320618,0.7819043127074502,0.16167451445178263,0.9585280104087796
cluster972,999.pdb,-0.1634521085322001,7.0,0.1344580893058545,-1.7815283095575318,-0.3760208335753863,-0.26269583190661905,-0.32772552916792036,0.7796512662238863,-0.5598219268387326,0.0,0.26871668740508386,0.44895989310808176,-0.28653581283511304,-0.6051393310840375,-0.25036146149007404,-0.40365987523735203,2.5492217981071645,1.8086409085720478,2.4959038996756435,2.0788902205059214,-1.0560297874901006,-1.1358557564051162,-2.2364824269053645,0.0,-0.5549069466247522,0.29776234376428107,0.9989118735675647,0.4561287963312349,-1.8870206501367424,1.6355638821391383,0.6760176005027236,1.079158099721975,-0.8427883741706662,0.9253032120379514
